,vote_link,Nombre,Status,Date,Tipo,Camara,Comision,Abstencion,Aprobado,Rechazado,Votos,bill_link,Bill_description,Autor,party_autor,tags,id,date
1065,https://congresovisible.uniandes.edu.co/votaciones/13089/,"“Aprobación del artículo 4 del Proyecto de Ley número 149 de 2015 Senado, como está redactado en la ponencia. ",aprobado,9/30/2015,Proyecto de Ley,Senado,,39.0,50.0,7.0,57.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-del-cual-se/7958/,Por medio del cual se prohíbe los procedimientos médicos y quirúrgicos estéticos para menores de edad y se dictan otras disposiciones. [Prohíbe cirugías estéticas a menores de edad],"['Oscar Mauricio  Lizcano Arango', 'Jorge Ivan  Ospina Gomez ', 'Juan Felipe Lemos Uribe', 'Luz Adriana   Moreno Marmolejo  ']","['Partido de la U - Partido Social de Unidad Nacional', 'Alianza Verde', 'Partido de la U - Partido Social de Unidad Nacional', 'Partido de la U - Partido Social de Unidad Nacional']","menores de edad,  cirugias esteticas",1066,2015-09-30
1066,https://congresovisible.uniandes.edu.co/votaciones/13090/,"“Aprobación de la proposición eliminatoria del artículo 8 y la proposición modificativa del artículo 7, suscrita por el Senador Orlando Castañeda Serrano, al Proyecto de Ley número 149 de 2015 Senado. ",aprobado,9/30/2015,Proposiciones,Senado,,41.0,50.0,5.0,55.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-del-cual-se/7958/,Por medio del cual se prohíbe los procedimientos médicos y quirúrgicos estéticos para menores de edad y se dictan otras disposiciones. [Prohíbe cirugías estéticas a menores de edad],"['Oscar Mauricio  Lizcano Arango', 'Jorge Ivan  Ospina Gomez ', 'Juan Felipe Lemos Uribe', 'Luz Adriana   Moreno Marmolejo  ']","['Partido de la U - Partido Social de Unidad Nacional', 'Alianza Verde', 'Partido de la U - Partido Social de Unidad Nacional', 'Partido de la U - Partido Social de Unidad Nacional']","menores de edad,  cirugias esteticas",1067,2015-09-30
1067,https://congresovisible.uniandes.edu.co/votaciones/13091/,"“Aprobación en bloque del articulado, el título y tránsito al siguiente debate del Proyecto de Ley número 149 de 2015 Senado. ",aprobado,9/30/2015,Proyecto de Ley,Senado,,42.0,47.0,7.0,54.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-del-cual-se/7958/,Por medio del cual se prohíbe los procedimientos médicos y quirúrgicos estéticos para menores de edad y se dictan otras disposiciones. [Prohíbe cirugías estéticas a menores de edad],"['Oscar Mauricio  Lizcano Arango', 'Jorge Ivan  Ospina Gomez ', 'Juan Felipe Lemos Uribe', 'Luz Adriana   Moreno Marmolejo  ']","['Partido de la U - Partido Social de Unidad Nacional', 'Alianza Verde', 'Partido de la U - Partido Social de Unidad Nacional', 'Partido de la U - Partido Social de Unidad Nacional']","menores de edad,  cirugias esteticas",1068,2015-09-30
1068,https://congresovisible.uniandes.edu.co/votaciones/13088/,“Aprobación del articulado en bloque excepto los artículos 4 y 7 del Proyecto  de Ley número 149 de 2015 Senado. ,aprobado,9/30/2015,Proyecto de Ley,Senado,,43.0,43.0,10.0,53.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-del-cual-se/7958/,Por medio del cual se prohíbe los procedimientos médicos y quirúrgicos estéticos para menores de edad y se dictan otras disposiciones. [Prohíbe cirugías estéticas a menores de edad],"['Oscar Mauricio  Lizcano Arango', 'Jorge Ivan  Ospina Gomez ', 'Juan Felipe Lemos Uribe', 'Luz Adriana   Moreno Marmolejo  ']","['Partido de la U - Partido Social de Unidad Nacional', 'Alianza Verde', 'Partido de la U - Partido Social de Unidad Nacional', 'Partido de la U - Partido Social de Unidad Nacional']","menores de edad,  cirugias esteticas",1069,2015-09-30
1069,https://congresovisible.uniandes.edu.co/votaciones/13352/,“Aprobación de la modificación del Orden del Día. ,aprobado,9/29/2015,,Cámara de Representantes,,52.0,49.0,36.0,85.0,Not availible,NO Description,Not availible,Not availible,Not availible,1070,2015-09-29
1070,https://congresovisible.uniandes.edu.co/votaciones/13006/,“Aprobación de la proposición suscrita por el Representante Carlos Edward Osorio por medio de la cual se solicita votar en bloque el articulado del Proyecto de Ley número 21 de 2015 Cámara. ,denegado,9/29/2015,Proposiciones,Cámara de Representantes,Comisión Primera de Cámara de Representantes,6.0,13.0,14.0,27.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-del-cual-se/8034/,"Por medio del cual se reforman algunos artículos de la Ley 906 de 2004, de la Ley 599 de 2000, de la Ley 65 de 1993 y se dictan otras disposiciones. [Reforma sistema penal acusatorio]","['Fiscal General de la Nación, Eduardo Montealegre Lynett']",NO party,sistema penal acusatorio,1071,2015-09-29
1071,https://congresovisible.uniandes.edu.co/votaciones/13007/,"“Aprobación de la proposición aditiva al artículo 1, suscrita por la Representante Clara Rojas, al Proyecto de Ley número 21 de 2015 ",noquorum,9/29/2015,Proposiciones,Cámara de Representantes,Comisión Primera de Cámara de Representantes,19.0,2.0,12.0,14.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-del-cual-se/8034/,"Por medio del cual se reforman algunos artículos de la Ley 906 de 2004, de la Ley 599 de 2000, de la Ley 65 de 1993 y se dictan otras disposiciones. [Reforma sistema penal acusatorio]","['Fiscal General de la Nación, Eduardo Montealegre Lynett']",NO party,sistema penal acusatorio,1072,2015-09-29
1072,https://congresovisible.uniandes.edu.co/votaciones/13019/,"“Aprobación de la proposición eliminatoria al artículo 9, suscrita por el Representante José Ignacio Mesa, al Proyecto de Ley número 246 de 2015 Cámara, 150 de 2015 Senado. ",aprobado,9/29/2015,Proposiciones,Cámara de Representantes,Comisión Segunda de Cámara de Representantes,2.0,11.0,1.0,12.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7959/,Por medio de la cual la Nación rinde homenaje y exalta la vida del ilustre ciudadano Carlos Gaviria Díaz. [Homenaje a Carlos Gaviria Díaz],"['Senen Niño Avendaño', 'Alexánder López Maya', 'Jorge Enrique Robledo Castillo', 'Iván Cepeda Castro', 'Jesús Alberto Castilla Salazar', 'Roy Leonardo Barreras Montealegre', 'Luis Evelis     Andrade Casama   ', 'Hernán Francisco Andrade Serrano', 'Doris Clemencia  Vega Quiroz ', 'Paloma Susana  Valencia Laserna', 'Claudia Nayibe  Lopez Hernandez ', 'Jorge Elieser Prieto Riveros']","['PDA - Polo Democrático Alternativo', 'PDA - Polo Democrático Alternativo', 'PDA - Polo Democrático Alternativo', 'PDA - Polo Democrático Alternativo', 'PDA - Polo Democrático Alternativo', 'Partido de la U - Partido Social de Unidad Nacional', 'MAIS - Movimiento Alternativo Indígena y Social', 'Conservador Colombiano', 'Opción Ciudadana', 'Centro Democrático', 'Alianza Verde', 'Alianza Verde']","homenaje,  carlos gaviria diaz",1073,2015-09-29
1073,https://congresovisible.uniandes.edu.co/votaciones/13049/,"“Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de Ley número 171 de 2015 Senado, 16 de 2014 Cámara. ",aprobado,9/29/2015,Proyecto de Ley,Senado,Comisión Primera de Senado,2.0,13.0,0.0,13.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7655/,"Por medio de la cual se crea el artículo 116 A, se modifican los artículos 68 A, 104, 113, 359 y 374 de la Ley 599 de 2000 y se modifica el artículo 351 de la Ley 906 de 2004. [Aumenta penalización ataques con ácido]","['Ana Paola Agudelo García', 'Carlos Eduardo Guevara Villabón', 'Guillermina Bravo Montaño']","['MIRA', 'MIRA', 'MIRA']","ataques con acido,  penalización ataques con acido",1074,2015-09-29
1074,https://congresovisible.uniandes.edu.co/votaciones/13018/,"“Aprobación de la proposición modificativa al artículo 3, suscrita por el Representante Alirio Uribe, al Proyecto de Ley número 246 de 2015 Cámara, 150 de 2015 Senado. ",denegado,9/29/2015,Proposiciones,Cámara de Representantes,Comisión Segunda de Cámara de Representantes,4.0,4.0,6.0,10.0,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7959/,Por medio de la cual la Nación rinde homenaje y exalta la vida del ilustre ciudadano Carlos Gaviria Díaz. [Homenaje a Carlos Gaviria Díaz],"['Senen Niño Avendaño', 'Alexánder López Maya', 'Jorge Enrique Robledo Castillo', 'Iván Cepeda Castro', 'Jesús Alberto Castilla Salazar', 'Roy Leonardo Barreras Montealegre', 'Luis Evelis     Andrade Casama   ', 'Hernán Francisco Andrade Serrano', 'Doris Clemencia  Vega Quiroz ', 'Paloma Susana  Valencia Laserna', 'Claudia Nayibe  Lopez Hernandez ', 'Jorge Elieser Prieto Riveros']","['PDA - Polo Democrático Alternativo', 'PDA - Polo Democrático Alternativo', 'PDA - Polo Democrático Alternativo', 'PDA - Polo Democrático Alternativo', 'PDA - Polo Democrático Alternativo', 'Partido de la U - Partido Social de Unidad Nacional', 'MAIS - Movimiento Alternativo Indígena y Social', 'Conservador Colombiano', 'Opción Ciudadana', 'Centro Democrático', 'Alianza Verde', 'Alianza Verde']","homenaje,  carlos gaviria diaz",1075,2015-09-29
