,vote_link,bill_link,Bill_description,Autor,party_autor,tags
0,https://congresovisible.uniandes.edu.co/votaciones/12451/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7728/,"Por medio de la cual se expide el Código Disciplinario Único y se derogan la Ley 734 de 2002 y algunas disposiciones de la Ley 1474 de 2011, relacionadas con el derecho disciplinario. [Código Disciplinario Único]","['Defensor del Pueblo, Jorge Armando Otálora', 'Procurador General de la Nación, Alejandro Ordoñez Maldonado']",NO party,No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12452/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7728/,"Por medio de la cual se expide el Código Disciplinario Único y se derogan la Ley 734 de 2002 y algunas disposiciones de la Ley 1474 de 2011, relacionadas con el derecho disciplinario. [Código Disciplinario Único]","['Defensor del Pueblo, Jorge Armando Otálora', 'Procurador General de la Nación, Alejandro Ordoñez Maldonado']",NO party,No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12453/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7728/,"Por medio de la cual se expide el Código Disciplinario Único y se derogan la Ley 734 de 2002 y algunas disposiciones de la Ley 1474 de 2011, relacionadas con el derecho disciplinario. [Código Disciplinario Único]","['Defensor del Pueblo, Jorge Armando Otálora', 'Procurador General de la Nación, Alejandro Ordoñez Maldonado']",NO party,No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12454/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7728/,"Por medio de la cual se expide el Código Disciplinario Único y se derogan la Ley 734 de 2002 y algunas disposiciones de la Ley 1474 de 2011, relacionadas con el derecho disciplinario. [Código Disciplinario Único]","['Defensor del Pueblo, Jorge Armando Otálora', 'Procurador General de la Nación, Alejandro Ordoñez Maldonado']",NO party,No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12455/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7728/,"Por medio de la cual se expide el Código Disciplinario Único y se derogan la Ley 734 de 2002 y algunas disposiciones de la Ley 1474 de 2011, relacionadas con el derecho disciplinario. [Código Disciplinario Único]","['Defensor del Pueblo, Jorge Armando Otálora', 'Procurador General de la Nación, Alejandro Ordoñez Maldonado']",NO party,No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12456/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7728/,"Por medio de la cual se expide el Código Disciplinario Único y se derogan la Ley 734 de 2002 y algunas disposiciones de la Ley 1474 de 2011, relacionadas con el derecho disciplinario. [Código Disciplinario Único]","['Defensor del Pueblo, Jorge Armando Otálora', 'Procurador General de la Nación, Alejandro Ordoñez Maldonado']",NO party,No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12457/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7728/,"Por medio de la cual se expide el Código Disciplinario Único y se derogan la Ley 734 de 2002 y algunas disposiciones de la Ley 1474 de 2011, relacionadas con el derecho disciplinario. [Código Disciplinario Único]","['Defensor del Pueblo, Jorge Armando Otálora', 'Procurador General de la Nación, Alejandro Ordoñez Maldonado']",NO party,No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12458/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7728/,"Por medio de la cual se expide el Código Disciplinario Único y se derogan la Ley 734 de 2002 y algunas disposiciones de la Ley 1474 de 2011, relacionadas con el derecho disciplinario. [Código Disciplinario Único]","['Defensor del Pueblo, Jorge Armando Otálora', 'Procurador General de la Nación, Alejandro Ordoñez Maldonado']",NO party,No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12459/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7728/,"Por medio de la cual se expide el Código Disciplinario Único y se derogan la Ley 734 de 2002 y algunas disposiciones de la Ley 1474 de 2011, relacionadas con el derecho disciplinario. [Código Disciplinario Único]","['Defensor del Pueblo, Jorge Armando Otálora', 'Procurador General de la Nación, Alejandro Ordoñez Maldonado']",NO party,No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12460/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7728/,"Por medio de la cual se expide el Código Disciplinario Único y se derogan la Ley 734 de 2002 y algunas disposiciones de la Ley 1474 de 2011, relacionadas con el derecho disciplinario. [Código Disciplinario Único]","['Defensor del Pueblo, Jorge Armando Otálora', 'Procurador General de la Nación, Alejandro Ordoñez Maldonado']",NO party,No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12531/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7426/,"Por medio de la cual se aprueba el “Tratado de Libre Comercio entre la República de Colombia y la República de Costa Rica”, suscrito en Cali, República de Colombia, el 22 de mayo de 2013. [TLC con Costa Rica]","['Ministra de Relaciones Exteriores, María Angela Holguín', 'Ministro de Comercio, Industria y Turismo, Sergio Diazgranados Guida']",NO party,"['Tratado de Libre Comercio', ' TLC', ' Costa Rica']"
0,https://congresovisible.uniandes.edu.co/votaciones/12532/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7426/,"Por medio de la cual se aprueba el “Tratado de Libre Comercio entre la República de Colombia y la República de Costa Rica”, suscrito en Cali, República de Colombia, el 22 de mayo de 2013. [TLC con Costa Rica]","['Ministra de Relaciones Exteriores, María Angela Holguín', 'Ministro de Comercio, Industria y Turismo, Sergio Diazgranados Guida']",NO party,"['Tratado de Libre Comercio', ' TLC', ' Costa Rica']"
0,https://congresovisible.uniandes.edu.co/votaciones/12533/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7426/,"Por medio de la cual se aprueba el “Tratado de Libre Comercio entre la República de Colombia y la República de Costa Rica”, suscrito en Cali, República de Colombia, el 22 de mayo de 2013. [TLC con Costa Rica]","['Ministra de Relaciones Exteriores, María Angela Holguín', 'Ministro de Comercio, Industria y Turismo, Sergio Diazgranados Guida']",NO party,"['Tratado de Libre Comercio', ' TLC', ' Costa Rica']"
0,https://congresovisible.uniandes.edu.co/votaciones/12536/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-del-cual-se/7508/,"Por medio del cual se dictan medidas para combatir los grupos criminales y organizados, dentro del territorio nacional. [Competencias fuerzas armadas contra criminalidad, Bacrim]",['Juan Francisco Lozano Ramirez'],['Partido de la U - Partido Social de Unidad Nacional'],"['seguridad ciudadana', ' fuerza publica', ' criminalidad']"
0,https://congresovisible.uniandes.edu.co/votaciones/12699/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-la-cual-se-elimina/7654/,"Por la cual se elimina el cargo fijo como componente de las estructuras tarifarias de los Servicios Públicos Domiciliarios, y se dictan otras disposiciones. [Cargo fijo servicios públicos]","['Ana Paola Agudelo García', 'Guillermina Bravo Montaño', 'Carlos Eduardo Guevara Villabón']","['MIRA', 'MIRA', 'MIRA']","['servicios publicos', ' cargo fijo', ' familia']"
0,https://congresovisible.uniandes.edu.co/votaciones/12990/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7893/,"Por medio de la cual se establece la tasa real de 0% de intereses en los créditos educativos otorgados por el Fondo Nacional del Ahorro para estudiantes de estratos 1, 2 y 3. [Créditos educativos otorgados por el Fondo Nacional del Ahorro sin intereses]","['Jorge Hernando Pedraza Gutierrez', 'Lina Maria Barrera Rueda', 'Humphrey Roa Sarmiento', 'Jaime Felipe  Lozada Polanco ', 'Alfredo Ape Cuello Baute', 'Ciro Antonio  Rodríguez Pinzón ', 'Ines Cecilia  Lopez Florez ', 'David Alejandro Barguil Assis']","['Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano']",No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12991/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7893/,"Por medio de la cual se establece la tasa real de 0% de intereses en los créditos educativos otorgados por el Fondo Nacional del Ahorro para estudiantes de estratos 1, 2 y 3. [Créditos educativos otorgados por el Fondo Nacional del Ahorro sin intereses]","['Jorge Hernando Pedraza Gutierrez', 'Lina Maria Barrera Rueda', 'Humphrey Roa Sarmiento', 'Jaime Felipe  Lozada Polanco ', 'Alfredo Ape Cuello Baute', 'Ciro Antonio  Rodríguez Pinzón ', 'Ines Cecilia  Lopez Florez ', 'David Alejandro Barguil Assis']","['Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano']",No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12992/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7893/,"Por medio de la cual se establece la tasa real de 0% de intereses en los créditos educativos otorgados por el Fondo Nacional del Ahorro para estudiantes de estratos 1, 2 y 3. [Créditos educativos otorgados por el Fondo Nacional del Ahorro sin intereses]","['Jorge Hernando Pedraza Gutierrez', 'Lina Maria Barrera Rueda', 'Humphrey Roa Sarmiento', 'Jaime Felipe  Lozada Polanco ', 'Alfredo Ape Cuello Baute', 'Ciro Antonio  Rodríguez Pinzón ', 'Ines Cecilia  Lopez Florez ', 'David Alejandro Barguil Assis']","['Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano']",No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12993/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7893/,"Por medio de la cual se establece la tasa real de 0% de intereses en los créditos educativos otorgados por el Fondo Nacional del Ahorro para estudiantes de estratos 1, 2 y 3. [Créditos educativos otorgados por el Fondo Nacional del Ahorro sin intereses]","['Jorge Hernando Pedraza Gutierrez', 'Lina Maria Barrera Rueda', 'Humphrey Roa Sarmiento', 'Jaime Felipe  Lozada Polanco ', 'Alfredo Ape Cuello Baute', 'Ciro Antonio  Rodríguez Pinzón ', 'Ines Cecilia  Lopez Florez ', 'David Alejandro Barguil Assis']","['Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano']",No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12994/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7893/,"Por medio de la cual se establece la tasa real de 0% de intereses en los créditos educativos otorgados por el Fondo Nacional del Ahorro para estudiantes de estratos 1, 2 y 3. [Créditos educativos otorgados por el Fondo Nacional del Ahorro sin intereses]","['Jorge Hernando Pedraza Gutierrez', 'Lina Maria Barrera Rueda', 'Humphrey Roa Sarmiento', 'Jaime Felipe  Lozada Polanco ', 'Alfredo Ape Cuello Baute', 'Ciro Antonio  Rodríguez Pinzón ', 'Ines Cecilia  Lopez Florez ', 'David Alejandro Barguil Assis']","['Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano']",No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12995/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7893/,"Por medio de la cual se establece la tasa real de 0% de intereses en los créditos educativos otorgados por el Fondo Nacional del Ahorro para estudiantes de estratos 1, 2 y 3. [Créditos educativos otorgados por el Fondo Nacional del Ahorro sin intereses]","['Jorge Hernando Pedraza Gutierrez', 'Lina Maria Barrera Rueda', 'Humphrey Roa Sarmiento', 'Jaime Felipe  Lozada Polanco ', 'Alfredo Ape Cuello Baute', 'Ciro Antonio  Rodríguez Pinzón ', 'Ines Cecilia  Lopez Florez ', 'David Alejandro Barguil Assis']","['Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano']",No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12996/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7893/,"Por medio de la cual se establece la tasa real de 0% de intereses en los créditos educativos otorgados por el Fondo Nacional del Ahorro para estudiantes de estratos 1, 2 y 3. [Créditos educativos otorgados por el Fondo Nacional del Ahorro sin intereses]","['Jorge Hernando Pedraza Gutierrez', 'Lina Maria Barrera Rueda', 'Humphrey Roa Sarmiento', 'Jaime Felipe  Lozada Polanco ', 'Alfredo Ape Cuello Baute', 'Ciro Antonio  Rodríguez Pinzón ', 'Ines Cecilia  Lopez Florez ', 'David Alejandro Barguil Assis']","['Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano', 'Conservador Colombiano']",No tags
0,https://congresovisible.uniandes.edu.co/votaciones/12336/,Not availible,NO Description,Not availible,Not availible,Not availible
0,https://congresovisible.uniandes.edu.co/votaciones/12461/,Not availible,NO Description,Not availible,Not availible,Not availible
0,https://congresovisible.uniandes.edu.co/votaciones/12528/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7426/,"Por medio de la cual se aprueba el “Tratado de Libre Comercio entre la República de Colombia y la República de Costa Rica”, suscrito en Cali, República de Colombia, el 22 de mayo de 2013. [TLC con Costa Rica]","['Ministra de Relaciones Exteriores, María Angela Holguín', 'Ministro de Comercio, Industria y Turismo, Sergio Diazgranados Guida']",NO party,"['Tratado de Libre Comercio', ' TLC', ' Costa Rica']"
0,https://congresovisible.uniandes.edu.co/votaciones/12530/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-de-la-cual/7426/,"Por medio de la cual se aprueba el “Tratado de Libre Comercio entre la República de Colombia y la República de Costa Rica”, suscrito en Cali, República de Colombia, el 22 de mayo de 2013. [TLC con Costa Rica]","['Ministra de Relaciones Exteriores, María Angela Holguín', 'Ministro de Comercio, Industria y Turismo, Sergio Diazgranados Guida']",NO party,"['Tratado de Libre Comercio', ' TLC', ' Costa Rica']"
0,https://congresovisible.uniandes.edu.co/votaciones/12534/,https://congresovisible.uniandes.edu.co/proyectos-de-ley/por-medio-del-cual-se/7508/,"Por medio del cual se dictan medidas para combatir los grupos criminales y organizados, dentro del territorio nacional. [Competencias fuerzas armadas contra criminalidad, Bacrim]",['Juan Francisco Lozano Ramirez'],['Partido de la U - Partido Social de Unidad Nacional'],"['seguridad ciudadana', ' fuerza publica', ' criminalidad']"
