,vote_link,Nombre:,Status,Date,Tipo,Camara,Comision,Votos,Absenciones,click
0,https://congresovisible.uniandes.edu.co/votaciones/14005/,['“Aprobación del Orden del '],aprobado,['Dic 13 d 2016'],['Orden del Día'],[],['Comisión Primera de Cámara de Representantes-Comisión Primera de Senado'],0,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14002/,['“Aprobación de la proposición con que termina el informe de ponencia del Proyecto de Ley 66 de 2016 '],aprobado,['Dic 06 d 2016'],['Proyecto de Ley'],[],['Comisión Primera de Cámara de Representantes'],24,1,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14003/,['“Aprobación en bloque de la totalidad del articulado del Proyecto de Ley 66 de 2016 Cámara.'],aprobado,['Dic 06 d 2016'],['Proyecto de Ley'],[],['Comisión Primera de Cámara de Representantes'],22,1,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14004/,['“Aprobación de la proposición aditiva de la Representante Angélica Lozano al Proyecto de Ley 66 de 2016 '],aprobado,['Dic 06 d 2016'],['Proposiciones'],[],['Comisión Primera de Cámara de Representantes'],20,1,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14191/,"['“Ratificación los diez (10) artículos tal como fueron aprobados en esta sesión, el título como ha sido leído por la Secretaría como aparece en el Informe de Ponencia Primer Debate y el deseo de la Comisión que este proyecto pase a Segundo Debate y se... ']",aprobado,['Dic 06 d 2016'],['Proyecto de Ley'],['Senado'],['Comisión Séptima de Senado'],8,5,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14192/,"['“Aprobación de todo el articulado, incluyendo las modificaciones al artículo 4º y las proposiciones modificativas al artículo 7º y 8º, incluyendo la vigencia en el artículo 9º. ']",aprobado,['Dic 06 d 2016'],['Proyecto de Ley'],['Senado'],['Comisión Séptima de Senado'],8,5,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14194/,"['“Aprobación del título como aparece en el informe de ponencia, los nueve (9) artículos incluyendo las modificaciones y que el proyecto pase a segundo debate y sea ley de la república, Proyecto de Ley número 098 de 2016 ']",aprobado,['Dic 06 d 2016'],['Proyecto de Ley'],['Senado'],['Comisión Séptima de Senado'],9,4,OK
0,https://congresovisible.uniandes.edu.co/votaciones/13938/,"['“Aprobación del artículo 1°, 2°, 3°, 5°, 6°, 8° y 10 del Proyecto de ley número 77 de ']",aprobado,['Dic 06 d 2016'],['Proyecto de Ley'],[],['Comisión Séptima de Senado'],8,5,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14186/,['“Aprobación proposición con la que termina el Informe de ponencia del Proyecto de ley número 77 de 2016 '],aprobado,['Dic 06 d 2016'],['Proyecto de Ley'],['Senado'],['Comisión Séptima de Senado'],7,6,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14187/,"['“Aprobación de los artículos 1°, 2°, 3°, 5°, 6°, 8° y 10 del Proyecto de ley número 77 de 2016 ']",aprobado,['Dic 06 d 2016'],['Proyecto de Ley'],['Senado'],['Comisión Séptima de Senado'],8,5,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14189/,['“Aprobación de la proposición sustitutiva al artículo 7° del Proyecto de ley número 77 de 2016 '],aprobado,['Dic 06 d 2016'],['Proposiciones'],['Senado'],['Comisión Séptima de Senado'],9,4,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14190/,['“Aprobación de la proposición modificativa al artículo 9° del Proyecto de ley número 77 de 2016 '],aprobado,['Dic 06 d 2016'],['Proyecto de Ley'],['Senado'],['Comisión Séptima de Senado'],8,5,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14193/,"['“Aprobación de la proposición con que termina el informe de ponencia, Proyecto de Ley número 098 de 2016 Senado.']",aprobado,['Dic 06 d 2016'],['Proyecto de Ley'],['Senado'],['Comisión Séptima de Senado'],9,4,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14188/,['“Aprobación del artículo 4° del Proyecto de ley número 77 de 2016 Senado'],aprobado,['Dic 06 d 2016'],['Proyecto de Ley'],['Senado'],['Comisión Séptima de Senado'],9,4,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14001/,['“Aprobación del Orden del '],aprobado,['Dic 06 d 2016'],['Orden del Día'],[],['Comisión Primera de Cámara de Representantes'],0,0,OK
